id,predicted_price
2591820310,368388.38
7974200820,940272.9
7701450110,1083811.8
9522300010,1873341.8
9510861140,710906.5
1761300310,254015.78
7732410120,812053.9
7010701383,672866.2
291310170,430614.94
4232901990,613486.25
6840701125,597080.7
3971700580,390289.75
4202400078,243336.9
6064800090,323571.25
2626119028,229080.06
3303980660,1134228.9
862000020,787297.9
2386000070,955369.6
1138000450,386234.94
1775800420,471457.12
2291401425,426560.28
2025770560,973482.5
3525069037,739104.0
9324800450,543001.7
8080400136,539140.9
8651540040,523000.7
9407001790,235004.8
1773101530,154646.0
9432900250,339388.3
1794500695,641279.3
2220069003,326886.94
923000120,462592.44
5728000060,551877.5
16000200,241381.28
1926059094,428698.56
6672900220,982663.2
3629860060,847015.94
1822069109,422126.2
6675500105,374638.9
249000180,2000410.2
226059065,501208.06
396100110,262420.03
9264450460,304657.34
7853361210,394239.2
9474700020,270177.12
421000455,233620.72
3755200220,418352.97
7960100075,451875.0
9477100490,406706.88
9138100350,780840.2
1624049275,505938.06
2770606890,502403.34
1157200189,422077.66
2770601800,510627.28
9301300805,526351.1
2325069032,1133990.8
1021079099,338816.8
7215730040,764572.2
1853200080,468517.12
3224600340,722975.3
3222049120,416703.56
2113700025,268011.78
7893207925,223003.89
3586501085,590684.8
8024200010,380920.34
7116500705,182958.06
1598600209,290302.1
7204200025,634334.1
4206901505,578744.5
2937300440,883153.1
7205000180,341724.06
8718500665,357982.06
5318101765,925453.8
4122700020,980384.25
8078700020,481189.56
3303980680,921242.0
8924100372,1276260.8
2781270210,212669.83
519000043,559773.3
3225069301,1426084.2
151000075,737726.75
2297400020,433090.8
6617500085,624197.8
104510180,245724.05
3528900060,990373.3
3345100286,518870.56
1226039130,429939.38
8712100720,792725.9
3037200010,373188.25
3626039268,435395.8
104510230,241525.47
5112800060,402236.6
6072400280,661040.5
5317100570,1017636.25
9528102993,560242.3
2919201095,525376.25
6181400920,249906.19
185000161,252387.69
8691400010,747757.44
3345700165,570090.75
6151800486,234212.88
4340000080,1247811.9
4136960010,524037.9
3634100030,309084.3
1624059224,1040224.4
2788400090,241792.22
9828200762,460964.3
7524400250,529317.94
3528000290,753557.94
5700003630,1764246.2
2720069019,301020.56
7227501170,236547.12
2397101270,646354.9
6792100090,735789.06
2770602265,531973.0
3971700937,285778.34
422049203,224785.6
3076500830,298600.28
1423400260,273522.3
9161100795,469372.88
3126049052,468228.38
5100401468,374602.56
514500235,422153.38
1423200170,186806.84
1402100070,385484.8
624110020,718583.5
2407000145,208102.1
1890000225,834383.7
1320069271,326424.2
5490700085,353543.9
263000155,466521.1
3726800201,403078.9
5153200358,293948.34
2725079018,741823.4
7165700200,275172.75
